"NO_SPOOL","DIA","Length","Weight","MemberCount","JointCount","Emergency","ApplyLeadTime","STG","Service","Pass","Sch","Material","제작협력사","도장협력사","Plan_makingLT","Actual_makingLT","Predicted_makingLT","Plan_paintingLT","Actual_paintingLT","Predicted_paintingLT"
"SN2126B7PU1317145","2.0","676.0","15.267","9.0","8.0","1.0","정상","30.0","DM","A","S-10S","SS","삼성중공업(주)거제","성도","17.0","36.0","42.099895","21.0","29.0","17.082336"
"SN2126B7PU1130205","2.0","2906.0","39.472","8.0","7.0","1.0","정상","30.0","N","B","S-80","CS","(주)성광테크","(주)성광테크","19.0","38.0","22.366867","13.0","13.0","17.117203"
"SN2126B7PU1319833","1.0","1404.0","9.245","5.0","3.0","1.0","정상","50.0","WD","A","S-80S","SS","건일산업(주)","하이에어","17.0","14.0","23.34229","11.0","13.0","20.138607"
"SN2126B7PU1126853","1.5","100.0","3.825","2.0","1.0","1.0","정상","40.0","PG","A","S-160","CS","(주)성광테크","(주)성광테크","19.0","20.0","20.25782","13.0","16.0","16.876415"
"SN2126B7PU1131441","10.0","4898.0","431.179","9.0","8.0","1.0","정상","50.0","HWR","A","S-30","CS","성일SIM함안공장","하이에어","27.0","27.0","30.086157","11.0","17.0","16.70079"
"SN2126B7PU1311834","2.0","3838.0","23.194","7.0","6.0","0.0","정상","3B","WD","A","S-10S","SS","삼성중공업(주)거제","하이에어","1.0","52.0","43.12453","1.0","34.0","28.368797"
"SN2126B7PU1122989","1.0","978.0","10.975","8.0","7.0","1.0","정상","40.0","N","A","S-80","CS","건일산업(주)","건일산업(주)","23.0","17.0","29.311638","27.0","18.0","21.783031"
"SN2126B7PU1130569","4.0","1343.0","51.574","3.0","2.0","1.0","정상","30.0","PM","B","S-120","CS","건일산업(주)","건일산업(주)","26.0","23.0","21.893986","40.0","18.0","20.09835"
"SN2126B7PU1120206","2.0","6000.0","58.231","6.0","5.0","1.0","정상","30.0","AI","A","S-80","CS","성일SIM함안공장","성일SIM함안공장","23.0","23.0","22.32759","13.0","21.0","24.085175"
"SN2126B7PU1312484","6.0","3857.0","87.193","6.0","4.0","1.0","정상","40.0","VA","B","S-10S","SS","건일산업(주)","건일산업(주)","31.0","23.0","20.600561","21.0","21.0","18.425213"
"SN2126B7PU1316811","1.0","2806.0","20.067","8.0","5.0","1.0","정상","30.0","WD","B","S-80S","SS","삼성중공업(주)거제","성도","26.0","60.0","40.393597","13.0","9.0","16.442501"
"SN2126B7PU1201560","24.0","6000.0","2244.24","6.0","5.0","1.0","정상","50.0","RN","B","S-40","LTCS","(주)성광테크","(주)성광테크","16.0","18.0","33.426804","21.0","16.0","17.182674"
"SN2126B7PU1320517","1.0","2758.0","9.676","2.0","1.0","1.0","정상","40.0","WD","A","S-80S","SS","건일산업(주)","하이에어","23.0","41.0","26.87383","11.0","23.0","15.7852125"
"SN2126B7PU1130350","2.0","908.0","24.302","8.0","7.0","1.0","정상","30.0","AI","B","S-80","CS","건일산업(주)","건일산업(주)","19.0","22.0","24.83033","21.0","22.0","19.457146"
"SN2126B7PU1127424","2.0","979.0","18.203","7.0","6.0","1.0","정상","40.0","AU","B","S-80","CS","건일산업(주)","건일산업(주)","17.0","29.0","27.574856","13.0","15.0","20.015404"
"SN2126B7PU1312620","0.75","428.0","0.942","1.0","0.0","0.0","정상","40.0","DN","A","S-80S","SS","성일","하이에어","17.0","12.0","18.529234","11.0","13.0","14.587556"
"SN2126B7PU1317611","2.0","416.0","30.186","8.0","7.0","1.0","정상","40.0","WM","A","S-10S","SS","삼성중공업(주)거제","하이에어","27.0","43.0","32.990147","16.0","11.0","15.314623"
"SN2126B7PU1123527","2.0","260.0","11.745","5.0","4.0","1.0","정상","30.0","CHS","A","S-80","CS","(주)성광테크","(주)성광테크","20.0","18.0","20.180935","20.0","12.0","16.909943"
"SN2126B7PU1316762","1.0","1312.0","12.599","7.0","5.0","0.0","정상","50.0","WD","B","S-80S","SS","성일","하이에어","19.0","16.0","21.183865","13.0","11.0","15.009186"
"SN2126B7PU1319297","1.0","1729.0","14.6559999999999","4.0","2.0","1.0","정상","50.0","FCH","B","S-80S","SS","건일산업(주)","하이에어","4.0","30.0","21.409336","12.0","13.0","23.203278"
"SN2126B7PU1133333","4.0","651.0","26.2","4.0","3.0","1.0","정상","30.0","PG","A","S-40","CS","건일산업(주)","건일산업(주)","42.0","27.0","27.897663","11.0","45.0","19.255325"
"SN2126B7PU1117002","2.0","1073.0","21.235","4.0","3.0","0.0","정상","40.0","HWR","A","S-80","CS","(주)성광테크","(주)성광테크","19.0","25.0","39.171844","13.0","28.0","55.210495"
"SN2126B7PU1131960","2.0","6000.0","55.326","6.0","5.0","1.0","정상","50.0","N","B","S-80","CS","건일산업(주)","건일산업(주)","24.0","30.0","24.132614","18.0","19.0","20.505798"
"SN2126B7PU1316903","6.0","3567.0","82.9679999999999","7.0","5.0","0.0","정상","70.0","FWH","A","S-10S","SS","건일산업(주)","건일산업(주)","23.0","24.0","22.178028","35.0","18.0","18.188122"
"SN2126B7PU1130320","3.0","539.0","28.34","8.0","7.0","1.0","정상","40.0","PL","A","S-40","CS","건일산업(주)","하이에어","17.0","27.0","34.191235","13.0","29.0","22.204441"
"SN2126B7PU1310084","2.0","585.0","15.828","6.0","5.0","0.0","정상","30.0","RN","A","S-10S","SS","성일","하이에어","17.0","34.0","25.710632","15.0","17.0","17.531275"
"SN2126B7PU1311875","2.0","2538.0","21.807","5.0","4.0","1.0","정상","40.0","FCH","A","S-10S","SS","삼성중공업(주)거제","성도","19.0","43.0","42.495148","21.0","14.0","16.773212"
"SN2126B7PU1317074","3.0","5840.0","38.868","2.0","1.0","1.0","정상","30.0","RN","B","S-10S","SS","성일","하이에어","19.0","20.0","26.443722","16.0","14.0","16.350628"
"SN2126B7PU1123218","1.5","2134.0","14.525","2.0","1.0","1.0","정상","30.0","N","A","S-80","CS","성일SIM함안공장","하이에어","20.0","28.0","30.829056","13.0","17.0","16.898243"
"SN2126B7PU1320225","2.0","1694.0","14.262","6.0","4.0","1.0","정상","40.0","WD","B","S-10S","SS","건일산업(주)","하이에어","17.0","21.0","28.727474","28.0","8.0","15.648137"
"SN2126B7PU1703475","1.0","171.0","3.702","6.0","0.0","1.0","정상","50.0","FW","A","S-80S","CN","부흥","하이에어","29.0","39.0","26.807186","11.0","11.0","15.212148"
"SN2126B7PU1126416","0.75","0.0","1.3","1.0","0.0","1.0","정상","50.0","CHS","A","S-80","CS","건일산업(주)","건일산업(주)","19.0","9.0","19.296442","13.0","16.0","19.137335"
"SN2126B7PU1320211","2.0","350.0","9.388","3.0","2.0","1.0","정상","50.0","PL","A","S-10S","SS","건일산업(주)","하이에어","26.0","16.0","28.936228","14.0","35.0","16.815346"
"SN2126B7PU1134120","1.0","100.0","2.217","2.0","1.0","1.0","정상","40.0","PG","A","S-160","CS","성일SIM함안공장","하이에어","17.0","18.0","19.694677","28.0","15.0","17.087688"
"SN2126B7PU1704894","1.0","140.0","3.605","5.0","0.0","1.0","정상","50.0","FW","A","S-80S","CN","부흥","하이에어","19.0","15.0","12.653057","14.0","16.0","15.193609"
"SN2126B7PU1130882","0.5","75.0","1.446","2.0","1.0","1.0","정상","40.0","PG","A","S-160","CS","성일SIM함안공장","하이에어","18.0","16.0","19.681684","11.0","12.0","17.081926"
"SN2126B7PU1316315","18.0","6000.0","1684.89","4.0","3.0","1.0","정상","50.0","RN","A","S-40S","SS","건일산업(주)","하이에어","13.0","42.0","37.981846","13.0","13.0","13.945188"
"SN2126B7PU1200207","30.0","1640.0","2174.33","6.0","5.0","0.0","정상","30.0","RN","A","T-26.97","LTCS","성일SIM함안공장","성일SIM함안공장","51.0","40.0","39.705315","5.0","13.0","16.892292"
"SN2126B7PU1128765","10.0","760.0","262.202","11.0","16.0","1.0","정상","30.0","FGH","A","S-60","CS","건일산업(주)","건일산업(주)","23.0","34.0","34.80139","11.0","15.0","15.370644"
"SN2126B7PU1313113","3.0","1543.0","10.129","1.0","0.0","0.0","정상","30.0","OL","B","S-10S","SS","성일","하이에어","19.0","16.0","19.61275","13.0","11.0","13.97969"
"SN2126B7PU1128739","10.0","2388.0","203.903","6.0","5.0","1.0","정상","40.0","CWS","A","S-20","CS","(주)성광테크","(주)성광테크","17.0","22.0","22.64107","20.0","17.0","18.147366"
"SN2126B7PU1J00187","8.0","0.0","178.030999999999","7.0","6.0","1.0","정상","40.0","DH","B","S-20","CS","성일SIM함안공장","삼녹","21.0","23.0","26.395979","21.0","11.0","19.236813"
"SN2126B7PU1115052","2.0","115.0","6.678","3.0","2.0","0.0","정상","40.0","PA","P","S-160","CS","성일SIM함안공장","성일SIM함안공장","28.0","48.0","44.257687","1.0","16.0","17.386227"
"SN2126B7PU1117204","0.75","78.0","1.626","2.0","1.0","0.0","정상","30.0","RN","A","S-160","CS","성일SIM함안공장","성일SIM함안공장","1.0","38.0","34.822746","1.0","13.0","18.301517"
"SN2126B7PU1130612","1.5","1086.0","11.231","2.0","1.0","1.0","정상","40.0","MT","B","S-XXS","CS","성일SIM함안공장","하이에어","19.0","21.0","25.615078","14.0","18.0","16.196804"
"SN2126B7PU1200914","20.0","2166.0","834.405","8.0","10.0","0.0","정상","30.0","RN","B","S-40","LTCS","건일산업(주)","건일산업(주)","17.0","30.0","31.73462","18.0","17.0","19.22734"
"SN2126B7PU1127616","1.0","2579.0","15.863","4.0","3.0","1.0","정상","30.0","DA","B","S-160","CS","건일산업(주)","건일산업(주)","24.0","18.0","22.319551","13.0","17.0","22.835846"
"SN2126B7PU1118810","8.0","2220.0","237.185999999999","12.0","14.0","1.0","정상","50.0","HWR","A","S-20","CS","성일SIM함안공장","하이에어","19.0","25.0","32.074154","13.0","12.0","16.404533"
"SN2126B7PU1118243","2.0","3500.0","42.52","5.0","4.0","1.0","정상","50.0","N","B","S-80","CS","(주)성광테크","(주)성광테크","27.0","25.0","20.921347","13.0","18.0","17.08749"
"SN2126B7PU1124763","6.0","1823.0","129.606","6.0","5.0","1.0","정상","30.0","FWL","B","S-40","CS","건일산업(주)","건일산업(주)","26.0","23.0","27.23588","13.0","13.0","18.436485"
"SN2126B7PU1120362","10.0","1838.0","315.082","6.0","5.0","1.0","정상","30.0","PG","A","S-60","CS","성일SIM함안공장","성일SIM함안공장","19.0","27.0","29.265526","13.0","47.0","31.492516"
"SN2126B7PU1703258","1.5","1112.0","18.114","13.0","5.0","1.0","정상","50.0","FW","B","T-3.81","CN","부흥","하이에어","29.0","49.0","40.926342","11.0","13.0","15.740966"
"SN2126B7PU1316039","2.0","5800.0","30.377","3.0","1.0","1.0","정상","50.0","DM","A","S-10S","SS","삼성중공업(주)거제","하이에어","36.0","31.0","32.705524","11.0","10.0","14.577674"
"SN2126B7PU1122329","14.0","2787.0","318.825999999999","4.0","6.0","1.0","정상","40.0","CHS","A","S-30","CS","건일산업(주)","건일산업(주)","27.0","35.0","28.32161","13.0","14.0","19.340015"
"SN2126B7PU1122345","2.0","2400.0","22.9019999999999","4.0","3.0","1.0","정상","50.0","AI","B","S-80","CS","건일산업(주)","하이에어","33.0","38.0","29.084156","20.0","20.0","19.446367"
"SN2126B7PU1118224","6.0","1497.0","105.054","5.0","4.0","1.0","정상","30.0","CWS","B","S-40","CS","해승케이피피","해승케이피피","27.0","62.0","51.165","8.0","27.0","19.25153"
"SN2126B7PU1117116","3.0","5700.0","93.3489999999999","2.0","1.0","0.0","정상","3B","PL","A","S-80","CS","성일SIM함안공장","성일SIM함안공장","1.0","33.0","33.59899","1.0","28.0","18.215298"
"SN2126B7PU1310733","2.0","710.0","14.1109999999999","7.0","6.0","0.0","정상","40.0","NL","A","S-10S","SS","성일","하이에어","17.0","24.0","23.282152","25.0","14.0","15.347775"
"SN2126B7PU1129074","0.5","0.0","1.5","1.0","0.0","1.0","정상","40.0","HWS","A","S-80","CS","건일산업(주)","하이에어","17.0","10.0","17.846617","11.0","9.0","19.25153"
"SN2126B7PU1201193","8.0","7070.0","375.346","1.0","0.0","1.0","정상","50.0","PG","A","S-60","LTCS","성일SIM함안공장","하이에어","19.0","17.0","21.792349","14.0","18.0","15.6061"
"SN2126B7PU1317126","3.0","6000.0","39.9","2.0","1.0","1.0","정상","40.0","RN","B","S-10S","SS","건일산업(주)","하이에어","22.0","37.0","27.343506","13.0","10.0","14.878079"
"SN2126B7PU1120796","1.0","88.0","2.167","2.0","1.0","1.0","정상","40.0","RN","A","S-160","CS","(주)성광테크","(주)성광테크","17.0","11.0","19.546621","10.0","21.0","17.232357"
"SN2126B7PU1200786","2.0","2141.0","29.441","5.0","4.0","1.0","준긴급","30.0","RN","B","S-80","LTCS","(주)성광테크","(주)성광테크","14.0","24.0","23.213465","14.0","15.0","15.0861025"
"SN2126B7PU1132412","6.0","664.0","63.425","8.0","7.0","0.0","정상","40.0","FWH","A","S-40","CS","건일산업(주)","건일산업(주)","93.0","18.0","27.421455","15.0","22.0","17.058132"
"SN2126B7PU1126008","2.0","2708.0","45.323","9.0","8.0","0.0","정상","50.0","DH","B","S-80","CS","(주)성광테크","(주)성광테크","19.0","25.0","33.737415","13.0","23.0","16.708725"
"SN2126B7PU1121224","4.0","1601.0","29.584","2.0","1.0","1.0","정상","30.0","PL","B","S-40","CS","(주)성광테크","(주)성광테크","17.0","13.0","23.604462","43.0","16.0","16.669853"
"SN2126B7PU1122553","2.0","434.0","12.374","4.0","3.0","1.0","정상","30.0","N","A","S-160","CS","건일산업(주)","하이에어","20.0","20.0","23.462149","13.0","12.0","21.774887"
"SN2126B7PU1130406","6.0","6700.0","270.179","5.0","4.0","1.0","정상","50.0","HWS","B","S-40","CS","(주)성광테크","(주)성광테크","18.0","14.0","26.67671","11.0","23.0","19.66759"
"SN2126B7PU1126318","6.0","1582.0","138.928","8.0","7.0","1.0","정상","40.0","PA","A","S-40","CS","(주)성광테크","(주)성광테크","31.0","37.0","36.097702","11.0","15.0","16.523518"
"SN2126B7PU1310088","0.75","288.0","2.591","4.0","3.0","1.0","정상","40.0","RN","A","S-80S","SS","건일산업(주)","하이에어","26.0","46.0","29.154606","13.0","10.0","15.609891"
"SN2126B7PU1318576","2.0","0.0","11.5","3.0","2.0","1.0","정상","40.0","PL","A","S-10S","SS","건일산업(주)","하이에어","23.0","60.0","36.307766","16.0","12.0","16.803883"
"SN2126B7PU1311857","30.0","2793.0","1405.42","4.0","3.0","1.0","정상","50.0","RN","B","S-20","SS","건일산업(주)","하이에어","28.0","45.0","35.192516","20.0","13.0","14.66573"
"SN2126B7PU1133507","6.0","1060.0","83.3929999999999","8.0","10.0","1.0","정상","40.0","PG","A","S-40","CS","성일SIM함안공장","하이에어","44.0","37.0","29.937805","13.0","19.0","16.914818"
"SN2126B7PU1J00123","6.0","0.0","50.6389999999999","10.0","9.0","0.0","정상","30.0","DH","B","S-40","CS","성일SIM함안공장","성일SIM함안공장","17.0","31.0","31.046488","17.0","19.0","19.451458"
"SN2126B7PU1320034","1.5","6000.0","77.507","6.0","2.0","1.0","정상","30.0","MT","B","S-XXS","SS","건일산업(주)","하이에어","19.0","44.0","29.449066","13.0","14.0","13.5218525"
"SN2126B7PU1119381","0.75","75.0","1.065","2.0","1.0","1.0","정상","40.0","N","A","S-80","CS","성일SIM함안공장","성일SIM함안공장","17.0","16.0","21.84829","13.0","8.0","15.823812"
"SN2126B7PU1130805","0.75","75.0","1.065","2.0","1.0","1.0","정상","40.0","AI","B","S-80","CS","건일산업(주)","건일산업(주)","17.0","24.0","23.765682","13.0","15.0","19.527538"
"SN2126B7PU1124519","1.0","552.0","2.66399999999999","3.0","2.0","1.0","정상","40.0","N","A","S-80","CS","건일산업(주)","하이에어","27.0","14.0","26.402622","13.0","13.0","19.163649"
"SN2126B7PU1313933","1.0","939.0","11.978","12.0","10.0","1.0","정상","50.0","OL","A","S-80S","SS","건일산업(주)","하이에어","33.0","36.0","36.001617","20.0","13.0","14.68485"
"SN2126B7PU1317408","1.5","110.0","2.005","2.0","1.0","1.0","정상","30.0","DM","A","S-80S","SS","삼성중공업(주)거제","성도","19.0","39.0","38.704453","13.0","10.0","14.803377"
"SN2126B7PU1127889","2.0","2880.0","31.997","1.0","0.0","1.0","정상","50.0","PL","A","S-160","CS","(주)성광테크","(주)성광테크","51.0","17.0","18.59418","11.0","15.0","17.911858"
"SN2126B7PU1310001","1.0","381.0","1.254","1.0","0.0","0.0","정상","30.0","WD","A","S-80S","SS","삼성중공업(주)거제","하이에어","1.0","21.0","35.67287","1.0","11.0","19.704079"
"SN2126B7PU1319175","1.0","459.0","1.51","1.0","0.0","1.0","정상","30.0","WD","A","S-80S","SS","건일산업(주)","하이에어","17.0","19.0","20.433994","18.0","12.0","14.969371"
"SN2126B7PU1123727","1.0","300.0","2.333","3.0","2.0","1.0","정상","50.0","AU","A","S-80","CS","성일SIM함안공장","하이에어","19.0","22.0","21.878857","20.0","10.0","16.141453"
"SN2126B7PU1702881","6.0","5980.0","190.817","3.0","1.0","1.0","정상","50.0","FW","A","T-6.35","CN","부흥","하이에어","19.0","16.0","21.573105","13.0","8.0","14.870024"
"SN2126B7PU1124518","1.0","785.0","8.447","5.0","4.0","1.0","정상","40.0","N","A","S-80","CS","건일산업(주)","하이에어","27.0","16.0","26.976963","13.0","14.0","21.850613"
"SN2126B7PU1316207","3.0","5200.0","35.34","3.0","2.0","1.0","정상","50.0","CDD","B","S-10S","SS","건일산업(주)","하이에어","19.0","27.0","29.140905","20.0","14.0","16.90225"
"SN2126B7PU1317171","2.0","765.0","12.282","8.0","6.0","1.0","정상","40.0","DM","A","S-10S","SS","건일산업(주)","하이에어","24.0","38.0","36.562756","11.0","24.0","16.647541"
"SN2126B7PU1123654","2.0","730.0","20.866","6.0","5.0","1.0","정상","30.0","N","A","S-160","CS","건일산업(주)","건일산업(주)","17.0","27.0","26.664955","11.0","22.0","21.841393"
"SN2126B7PU1134284","1.0","1284.0","18.301","8.0","7.0","1.0","정상","30.0","MT","B","S-XXS","CS","성일SIM함안공장","하이에어","36.0","31.0","33.546062","11.0","15.0","15.562664"
"SN2126B7PU1312721","1.0","213.0","3.647","6.0","5.0","0.0","정상","40.0","WD","A","S-80S","SS","성일","하이에어","17.0","15.0","19.94287","11.0","11.0","14.7725"
"SN2126B7PU1316873","18.0","135.0","333.776","3.0","2.0","1.0","정상","30.0","N","B","S-80S","SS","건일산업(주)","하이에어","27.0","38.0","34.088978","13.0","14.0","12.921469"
"SN2126B7PU1126485","0.5","75.0","0.922","2.0","1.0","1.0","정상","50.0","CHS","A","S-80","CS","(주)성광테크","(주)성광테크","16.0","10.0","19.454617","0.0","18.0","17.637749"
"SN2126B7PU1320881","16.0","4330.0","658.4","2.0","1.0","1.0","정상","30.0","FCH","B","S-80S","SS","건일산업(주)","하이에어","19.0","33.0","30.53172","13.0","19.0","14.1398945"
"SN2126B7PU1128815","0.5","0.0","4.03","4.0","3.0","1.0","정상","40.0","FGH","A","S-160","CS","건일산업(주)","건일산업(주)","23.0","31.0","29.288544","85.0","15.0","17.946873"
"SN2126B7PU1125555","2.0","2144.0","27.076","8.0","7.0","1.0","정상","30.0","DH","B","S-80","CS","건일산업(주)","삼녹","18.0","17.0","23.8132","11.0","23.0","19.0848"
"SN2126B7PU1130200","2.0","1755.0","30.2269999999999","8.0","7.0","1.0","정상","30.0","AU","B","S-80","CS","건일산업(주)","건일산업(주)","27.0","23.0","23.753094","13.0","25.0","22.0546"
"SN2126B7PU1703420","2.0","1176.0","21.451","14.0","6.0","0.0","정상","50.0","FW","A","T-3.96","CN","부흥","하이에어","19.0","44.0","43.23814","13.0","9.0","12.047281"
"SN2126B7PU1123052","2.0","1758.0","27.02","7.0","6.0","1.0","정상","50.0","N","B","S-80","CS","(주)성광테크","(주)성광테크","2.0","18.0","21.35855","30.0","14.0","16.972195"
